Entrez_Gene_Id	Tumor_Sample_Barcode
4060	TCGA-06-0145-01A-02W
4060	TCGA-06-0145-01A-03W
4060	TCGA-06-0145-01A-04W
4060	TCGA-06-0145-01A-05W
4060	TCGA-06-0145-01A-06W
4060	TCGA-06-0143-01A-01W
4089	TCGA-02-0028-01A-01W-0189-08
4099	TCGA-06-0174-01A-01W-0254-08
4121	TCGA-06-0178-01A-01W
4133	TCGA-06-0238-01A-02W
4139	TCGA-08-0385-01A-01W-0318-08
4139	TCGA-08-0344-01A-01W-0318-08
4179	TCGA-02-0010-01A-01W
4193	TCGA-02-0085-01A-01W-0206-08
4194	TCGA-06-0129-01A-01W
4194	TCGA-06-0129-01A-01W-0224-08
4233	TCGA-02-0015-01A-01W
4233	TCGA-02-0015-01A-01W-0318-08
4233	TCGA-02-0114-01A-01W
4233	TCGA-02-0010-01A-01W
4324	TCGA-08-0358-01A-01W
4440	TCGA-02-0083-01A-01W-0206-08
4440	TCGA-02-0114-01A-01W-0206-08
4507	TCGA-06-0156-01A-01W-0254-08
4613	TCGA-02-0028-01A-01W-0189-08
4747	TCGA-02-0028-01A-01W
4753	TCGA-02-0083-01A-01W-0206-08
4763	TCGA-06-0210-01A-01W
4763	TCGA-02-0107-01A-01W
4763	TCGA-06-0184-01A-01W
4763	TCGA-02-0086-01A-01W
4763	TCGA-06-0176-01A-02W
4763	TCGA-02-0028-01A-01W
4763	TCGA-02-0001-01C-01W
4829	TCGA-06-0178-01A-01W
4829	TCGA-02-0010-01A-01W
4846	TCGA-02-0083-01A-01W
4851	TCGA-02-0026-01B-01W
4855	TCGA-02-0114-01A-01W
4892	TCGA-02-0114-01A-01W
4892	TCGA-02-0014-01A-01W
4915	TCGA-02-0099-01A-01W
4920	TCGA-08-0390-01A-01W
4920	TCGA-02-0083-01A-01W
4920	TCGA-02-0010-01A-01W
4921	TCGA-06-0185-01A-01W-0254-08
4921	TCGA-12-0615-01A-01W-0323-08
4921	TCGA-06-0176-01A-02W-0254-08
4982	TCGA-02-0010-01A-01W
5079	TCGA-06-0141-01A-01W
5156	TCGA-06-0174-01A-01W
5156	TCGA-08-0347-01A-01W
5156	TCGA-08-0245-01A-01W-0318-08
5156	TCGA-08-0347-01A-01W-0318-08
5159	TCGA-02-0114-01A-01W
5159	TCGA-02-0083-01A-01W
5164	TCGA-02-0043-01A-01W
5170	TCGA-08-0389-01A-01W-0318-08
5286	TCGA-06-0209-01A-01W
5286	TCGA-06-0209-01A-01W-0254-08
5287	TCGA-02-0043-01A-01W-0189-08
5288	TCGA-06-0213-01A-01W
5288	TCGA-06-0137-01A-01W
5288	TCGA-06-0137-01A-02W
5288	TCGA-06-0137-01A-03W
5288	TCGA-06-0145-01A-01W
5288	TCGA-06-0213-01A-01W-0254-08
5288	TCGA-08-0375-01A-01W-0318-08
5288	TCGA-06-0201-01A-01W-0254-08
5288	TCGA-06-0137-01A-01W-0224-08
5288	TCGA-06-0145-01A-01W-0224-08
5290	TCGA-02-0116-01A-01W
5290	TCGA-02-0047-01A-01W
5290	TCGA-02-0037-01A-01W
5290	TCGA-08-0375-01A-01W
5290	TCGA-06-0210-01A-01W
5290	TCGA-06-0171-01A-02W
5290	TCGA-06-0201-01A-01W
5292	TCGA-02-0011-01B-01W
5294	TCGA-06-0176-01A-02W
5294	TCGA-02-0116-01A-01W
5294	TCGA-02-0114-01A-01W
5295	TCGA-06-0129-01A-01W
5295	TCGA-02-0021-01A-01W
5295	TCGA-02-0028-01A-01W
5295	TCGA-06-0178-01A-01W
5295	TCGA-02-0114-01A-01W
5295	TCGA-08-0350-01A-01W
5295	TCGA-06-0133-01A-02W
5295	TCGA-02-0048-01A-01W
5324	TCGA-02-0055-01A-01W
5324	TCGA-02-0055-01A-01W-0189-08
5395	TCGA-02-0028-01A-01W
5451	TCGA-02-0043-01A-01W
5528	TCGA-02-0069-01A-01W-0206-08
5578	TCGA-02-0083-01A-01W-0206-08
5579	TCGA-06-0185-01A-01W-0254-08
5580	TCGA-06-0145-01A-01W
5580	TCGA-06-0145-01A-02W
5580	TCGA-06-0145-01A-03W
5580	TCGA-06-0145-01A-04W
5580	TCGA-06-0145-01A-05W
5580	TCGA-06-0145-01A-06W
5590	TCGA-06-0206-01A-01W
5590	TCGA-02-0083-01A-01W
5601	TCGA-02-0028-01A-01W-0189-08
